"id","mc_question_id","alphabet","choice","created_at","updated_at"
"147","30","B","Gross National Product (GNP) berfokus pada lokasi produksi, sedangkan Gross Domestic Product (GDP) berfokus pada siapa yang melakukan produksi.","2024-08-22 06:49:32","2024-08-22 06:49:32"
"148","30","C","Gross National Product (GNP) hanya memperhitungkan nilai selisih dari ekspor dan impor suatu negara, sedangkan Gross Domestic Product (GDP) berfokus pada besarnya konsumsi pribadi, investasi negara, dan pengeluaran negara.","2024-08-22 06:49:32","2024-08-22 06:49:32"
"149","30","D","Gross National Product (GNP) memperhitungkan pendapatan dari luar negeri oleh warga negara dan pendapatan yang diperoleh oleh orang asing di dalam negeri, sedangkan Gross Domestic Product (GDP) tidak memperhitungkan hal tersebut.","2024-08-22 06:49:32","2024-08-22 06:49:32"
"150","30","E","Gross National Product (GNP) memperhitungkan total nilai rata-rata pendapatan untuk setiap satu populasi, sedangkan Gross Domestic Product (GDP)  tidak memperhitungkan hal tersebut.","2024-08-22 06:49:32","2024-08-22 06:49:32"
"151","31","A","Inventory","2024-08-22 06:50:00","2024-08-22 06:50:00"
"152","31","B","Feedback","2024-08-22 06:50:00","2024-08-22 06:50:00"
"153","31","C","Motion","2024-08-22 06:50:00","2024-08-22 06:50:00"
"154","31","D","Defects","2024-08-22 06:50:00","2024-08-22 06:50:00"
"155","31","E","Overproduction","2024-08-22 06:50:00","2024-08-22 06:50:00"
"156","32","A","Efektif, nyaman, aman, sehat, efisien","2024-08-22 06:50:32","2024-08-22 06:50:32"
"157","32","B","Aman, multifungsi, efektif, murah, sehat","2024-08-22 06:50:32","2024-08-22 06:50:32"
"158","32","C","Nyaman, efektif, aman, murah, sehat","2024-08-22 06:50:32","2024-08-22 06:50:32"
"159","32","D","Multifungsi, aman, nyaman, efektif, sehat","2024-08-22 06:50:32","2024-08-22 06:50:32"
"160","32","E","Efektif, efisien, murah, aman, nyaman","2024-08-22 06:50:32","2024-08-22 06:50:32"
"161","33","A","Rp. 35500","2024-08-22 06:50:57","2024-08-22 06:50:57"
"162","33","B","Rp. 36500","2024-08-22 06:50:57","2024-08-22 06:50:57"
"163","33","C","Rp. 34500","2024-08-22 06:50:57","2024-08-22 06:50:57"
"164","33","D","Rp. 33750","2024-08-22 06:50:57","2024-08-22 06:50:57"
"165","33","E","Rp. 38750","2024-08-22 06:50:57","2024-08-22 06:50:57"
"166","34","A","Produksi mobil menggunakan robot","2024-08-22 06:51:29","2024-08-22 06:51:29"
"167","34","B","Membajak sawah dengan traktor","2024-08-22 06:51:29","2024-08-22 06:51:29"
"168","34","C","Membuat makanan kaleng menggunakan mesin","2024-08-22 06:51:29","2024-08-22 06:51:29"
"169","34","D","Memproduksi rokok kretek linting tangan","2024-08-22 06:51:29","2024-08-22 06:51:29"
"170","34","E","Pembuatan produk manufaktur","2024-08-22 06:51:29","2024-08-22 06:51:29"
"171","35","A","Magnesium","2024-08-22 06:51:51","2024-08-22 06:51:51"
"172","35","B","Aluminium","2024-08-22 06:51:51","2024-08-22 06:51:51"
"173","35","C","Titanium","2024-08-22 06:51:51","2024-08-22 06:51:51"
"174","35","D","Baja karbon","2024-08-22 06:51:51","2024-08-22 06:51:51"
"175","35","E","Brass","2024-08-22 06:51:51","2024-08-22 06:51:51"
